92
innocent-iii	Innocent III	1198-01-08	1216-07-16
honorius-iii	Honorius III	1216-07	1227-03
gregory-ix	Gregory IX	1227-03	1241-08
celestine-iv	Celestine IV	1241-10	1241-11
innocent-iv	Innocent IV	1243-06	1254-12
alexander-iv	Alexander IV	1254-12	1261-05
urban-iv	Urban IV	1261-08	1264-10
clement-iv	Clement IV	1265-02	1268-11
gregory-x	Gregory X	1271-09	1276-01
john-xxi	John XXI	1276-09	1277-05
innocent-v	Innocent V	1276-01	1276-06
adrian-v	Adrian V	1276-07	1276-08
nicholas-iii	Nicholas III	1277-11	1280-08
martin-iv	Martin IV	1281-02	1285-03
honorius-iv	Honorius IV	1285-04	1287-04
nicholas-iv	Nicholas IV	1288-02	1292-04
celestine-v	Celestine V	1294-07	1294-12
boniface-viii	Boniface VIII	1294-12	1303-10
benedict-xi	Benedict XI	1303-10	1304-07
clement-v	Clement V	1305-06	1314-04
john-xxii	John XXII	1316-08	1334-12
benedict-xii	Benedict XII	1334-12	1342-04
clement-vi	Clement VI	1342-05	1352-12
innocent-vi	Innocent VI	1352-12	1362-09
urban-v	Urban V	1362-10	1370-12
gregory-xi	Gregory XI	1370-12	1378-03
urban-vi	Urban VI	1378-04	1389-10
boniface-ix	Boniface IX	1389-11	1404-10
innocent-vii	Innocent VII	1404-10	1406-11
gregory-xii	Gregory XII	1406-11	1415-07
martin-v	Martin V	1417-11	1431-02
eugene-iv	Eugene IV	1431-03	1447-02
nicholas-v	Nicholas V	1447-03	1455-03
callixtus-iii	Callixtus III	1455-04	1458-08
pius-ii	Pius II	1458-08	1464-08
paul-ii	Paul II	1464-08	1471-07
sixtus-iv	Sixtus IV	1471-08	1484-08
innocent-viii	Innocent VIII	1484-08	1492-07
alexander-vi	Alexander VI	1492-08	1503-08
pius-iii	Pius III	1503-09	1503-10
julius-ii	Julius II	1503-11	1513-02
leo-x	Leo X	1513-03	1521-12
adrian-vi	Adrian VI	1522-01	1523-09
clement-vii	Clement VII	1523-11	1534-09
paul-iii	Paul III	1534-10	1549-11
julius-iii	Julius III	1550-02	1555-03
paul-iv	Paul IV	1555-05	1559-08
marcellus-ii	Marcellus II	1555-04	1555-05
pius-iv	Pius IV	1559-12	1565-12
pius-v	Pius V	1566-01-07	1572-05-01
gregory-xiii	Gregory XIII	1572-05	1585-04
sixtus-v	Sixtus V	1585-04	1590-08
gregory-xiv	Gregory XIV	1590-12	1591-10
urban-vii	Urban VII	1590-09	1590-09
innocent-ix	Innocent IX	1591-10	1591-12
clement-viii	Clement VIII	1592-01	1605-03
leo-xi	Leo XI	1605-04	1605-04
paul-v	Paul V	1605-05	1621-01
gregory-xv	Gregory XV	1621-02	1623-07
urban-viii	Urban VIII	1623-08	1644-07
innocent-x	Innocent X	1644-09	1655-01
alexander-vii	Alexander VII	1655-04	1667-05
clement-ix	Clement IX	1667-06	1669-12
clement-x	Clement X	1670-04	1676-07
innocent-xi	Innocent XI	1676-09	1689-08
alexander-viii	Alexander VIII	1689-10	1691-02
innocent-xii	Innocent XII	1691-07	1700-09
clement-xi	Clement XI	1700-11	1721-03
innocent-xiii	Innocent XIII	1721-05	1724-03
benedict-xiii	Benedict XIII	1724-05	1730-02
clement-xii	Clement XII	1730-07	1740-02
benedict-xiv	Benedict XIV	1740-08	1758-05
clement-xiii	Clement XIII	1758-07	1769-02
clement-xiv	Clement XIV	1769-05	1774-09
pius-vi	Pius VI	1775-02	1799-08
pius-vii	Pius VII	1800-03	1823-08
leo-xii	Leo XII	1823-09	1829-02
pius-viii	Pius VIII	1829-03	1830-11
gregory-xvi	Gregory XVI	1831-02	1846-06
pius-ix	Pius IX	1846-06-16	1878-02-07
leo-xiii	Leo XIII	1878-02-20	1903-07-20
pius-x	Pius X	1903-08-04	1914-08-20
benedict-xv	Benedict XV	1914-09	1922-01
pius-xi	Pius XI	1922-02	1939-02
pius-xii	Pius XII	1939-03-02	1958-10-09
john-xxiii	John XXIII	1958-10-28	1963-06-03
paul-vi	Paul VI	1963-06	1978-08
john-paul-i	John Paul I	1978-08	1978-09
john-paul-ii	John Paul II	1978-10-16	2005-04-02
benedict-xvi	Benedict XVI	2005-04	2013-02
francis	Francis	2013-03	2025-04
leo-xiv	Leo XIV	2025-05	None
